user_idx,user_activity
10480,110
11183,95
5995,153
5626,60
998,77
11276,62
2907,68
1567,121
8863,71
33,57
5686,79
10937,69
9766,87
1789,58
1784,67
4517,66
2424,238
8596,89
9674,113
10823,77
398,71
3276,102
324,65
11649,66
1048,83
4779,71
6725,186
2741,72
11811,60
434,76
5494,67
2980,60
10957,76
5379,73
8761,447
8435,73
10245,65
3481,51
970,93
7702,84
8720,60
7446,63
2912,73
4294,94
7157,87
11044,99
11638,61
10474,68
8339,67
4843,265
7045,77
9191,64
7827,188
159,67
11869,106
5717,69
10403,119
4278,80
9416,52
2762,77
373,62
6,77
2149,54
8107,71
2844,74
9319,71
2503,75
1657,176
2048,77
8186,59
8243,62
2091,80
6588,63
4942,563
10426,70
7627,68
5228,61
7100,62
6254,78
8649,79
11234,66
1723,67
8713,120
9440,72
2677,65
11723,70
6154,91
11170,81
6882,97
5115,58
10415,61
2112,81
2067,76
6065,91
5671,58
10471,55
3634,71
7396,60
2540,100
9527,85
4875,75
9356,81
10834,54
8160,50
5799,69
2575,67
6103,82
9248,88
6078,63
4052,66
11970,69
1066,66
11343,232
6976,322
3402,89
4455,81
7773,64
1224,88
11533,68
9537,93
1533,85
8249,76
7968,82
9962,65
6363,86
1869,93
784,125
3993,66
9222,78
7021,138
4054,67
10833,129
2050,98
7279,50
4511,90
9615,63
4837,108
6766,72
11185,104
6600,81
6620,70
8634,60
10750,69
5263,69
9814,104
1068,91
10261,61
5966,76
10947,64
1242,271
4824,65
5744,71
4836,91
1539,63
9475,62
496,99
3251,66
4189,70
5537,75
8675,69
11546,80
2355,91
10891,229
873,63
532,134
431,66
6853,76
683,70
9635,67
9343,123
2795,71
10488,76
8793,60
1498,66
7833,79
3832,48
8147,66
7074,59
4825,66
7174,61
10248,62
486,70
868,59
6493,94
2733,66
6408,81
4815,62
7225,58
5922,72
5457,107
10732,76
1115,62
4913,64
11494,80
7663,107
2657,79
248,74
3839,74
9822,60
334,66
6438,52
2791,68
4105,219
8144,78
11433,64
2226,57
7741,89
11486,57
1347,273
6891,83
8473,73
11830,74
46,69
8045,77
1394,57
5648,79
6100,69
11492,140
85,168
1502,56
1986,89
3303,67
4206,92
3509,55
11637,56
6675,59
2336,80
5429,93
5366,110
3667,77
10910,76
11197,69
1019,62
3586,99
3487,56
7036,73
9997,115
9177,97
1430,102
8304,74
287,334
6793,78
3521,83
9096,69
10731,76
1886,87
3258,50
1816,52
4163,74
2272,156
7728,69
9598,76
8540,101
3004,89
3908,46
1716,65
10708,60
10876,62
5685,70
1334,210
3014,124
3579,81
3604,80
8864,74
7716,66
10346,78
4759,72
7815,60
11525,55
5828,74
10844,68
5427,65
8128,162
6240,73
524,61
7617,81
2372,85
10839,74
3511,63
1946,60
914,71
9036,116
10432,90
1020,64
10659,83
10183,68
11498,67
3574,82
3770,73
11620,126
5601,70
5226,63
10030,60
2935,68
9893,68
3364,49
4679,63
3695,63
6652,76
8190,64
10971,55
634,65
5046,131
11631,250
2734,105
6621,77
3606,85
8814,84
7849,78
6180,57
6270,70
9423,75
5422,60
9139,66
7156,72
4984,67
8090,71
1612,78
9750,167
1855,64
4404,152
8914,62
2453,62
2972,290
3933,109
7950,69
641,65
8413,78
8529,132
10463,68
1661,63
9729,59
4162,78
4998,121
1,79
10599,97
5206,65
3884,66
9014,78
5872,76
4777,78
2793,85
4819,75
6429,106
4562,219
2199,79
9560,67
5611,163
2746,65
4153,59
903,63
9304,177
349,71
6116,150
10531,91
8637,76
1757,69
5401,83
1405,91
8252,85
606,55
3319,83
8403,179
7952,91
11720,71
5628,66
4751,73
10309,136
497,86
4930,68
9558,81
2074,122
5726,55
5493,72
5860,63
7031,60
7976,80
7296,82
10422,72
882,68
3324,87
6808,53
2875,61
3939,84
7527,89
2325,80
2347,59
425,49
1535,81
11377,78
1371,74
6883,84
8672,80
949,69
10642,181
7196,77
3107,63
2273,64
9825,61
2289,90
5387,76
5699,84
4036,99
4654,80
7479,96
5127,79
442,4649
340,86
8193,80
2031,66
889,48
5065,75
3528,77
10095,151
3091,64
935,89
9269,71
6840,62
6714,59
10515,64
8317,83
225,69
5761,74
6209,69
8343,185
1370,79
3207,62
7597,76
10998,77
9781,87
9263,115
7018,63
1006,124
7238,64
1842,67
5515,77
6814,98
9349,54
7274,80
3398,71
1762,95
7029,67
5178,89
11549,150
5850,66
921,66
11385,71
9700,80
2771,62
2343,75
10002,70
6077,80
944,76
7048,61
3629,67
10877,62
41,63
9529,55
9733,61
8957,78
4533,71
8183,55
5253,95
885,77
9103,73
1335,72
10287,75
5006,76
11561,77
11026,73
11450,76
2842,41
665,79
1208,71
8281,76
1214,66
4170,60
2232,81
10544,64
4669,78
6586,60
342,70
3860,119
5569,84
6491,70
3373,69
696,74
5536,70
7991,99
261,72
49,60
5441,82
5385,97
3897,74
8457,60
11560,77
9758,81
2426,62
5532,70
8402,65
4267,2228
10683,78
5276,122
156,73
6530,67
5976,68
4114,55
715,62
2946,59
11947,61
3785,240
6290,58
2009,65
11344,69
8474,63
11020,68
9710,59
7566,76
5862,75
4002,74
332,68
5927,77
10107,99
9085,76
7456,75
5019,68
3691,72
5633,64
7647,267
607,73
3135,84
8895,66
5252,165
8469,71
5397,62
9577,77
6049,73
10365,88
11540,65
2899,77
2542,63
5953,72
821,71
8643,71
9071,93
1973,97
6880,77
1513,61
8625,98
2509,86
589,58
10164,76
7731,56
8875,80
8195,80
8408,74
9584,76
2780,60
7694,172
5942,140
4549,104
7655,87
10056,78
2124,95
6765,77
11751,54
9806,75
6708,57
11924,71
386,58
9309,89
9197,63
5154,124
8064,76
76,59
2661,86
1556,101
11038,74
4031,108
8417,62
5026,86
6052,71
1655,69
3932,76
8262,109
1898,80
1133,71
2440,60
9672,100
2245,73
7625,76
2013,64
11423,96
3137,63
6800,475
3638,147
3680,71
3575,62
5781,68
3198,104
303,65
3501,64
2450,73
1726,60
8067,82
6821,73
2750,107
5346,150
2025,67
7212,63
10083,63
3603,79
1236,75
8867,74
4976,188
4876,91
1691,74
1696,85
8419,113
6021,52
2584,47
4603,65
9484,69
4233,73
9811,62
10664,87
4447,88
5809,78
11949,94
3597,70
11760,69
9909,65
8245,64
4197,76
839,63
11299,92
6316,64
2906,108
8796,61
6614,988
6663,67
8385,86
1373,86
8393,176
6038,64
5261,110
1408,81
1537,72
3875,70
3493,75
3403,95
27,82
1679,66
5786,118
635,72
4429,66
441,80
9898,58
5945,80
11921,54
10694,109
2515,75
8799,66
8597,149
10473,85
1943,129
3412,316
5398,68
7862,85
3050,55
8013,77
10867,72
2855,95
700,94
1742,88
11858,67
3960,180
1489,70
11864,58
1508,73
3876,73
1438,91
11220,103
2351,74
7786,62
6007,81
10560,71
4155,71
7441,56
4328,82
8910,71
3544,58
5688,64
540,78
7804,61
1545,95
5073,68
5095,101
8114,76
10020,78
10206,72
10376,73
6778,63
2890,56
9485,77
1764,151
11576,60
7762,60
6326,68
9039,56
8844,59
9341,65
10364,74
1399,78
7901,73
10568,63
10777,98
5030,102
578,99
7834,69
3836,141
2049,73
2062,166
2745,92
10635,73
1076,66
8070,55
5620,62
8109,77
3540,84
3036,100
1717,96
11054,79
7712,66
9601,86
10124,81
1739,57
11939,79
1200,97
5661,68
4101,66
11660,49
2196,130
2056,75
10021,75
8261,68
2419,97
1265,79
4809,77
9395,73
778,72
11615,69
6054,58
5386,79
4545,76
6760,92
10555,112
7897,83
5796,88
2901,75
988,61
7386,83
5284,68
382,65
7910,139
618,60
5772,100
4412,75
8890,91
897,60
11823,72
1598,88
4514,111
7119,151
5071,63
10790,59
3519,71
3116,110
3927,67
5085,82
7180,56
953,56
8954,68
5654,86
180,77
11552,61
5281,77
3415,83
8516,97
7876,74
793,115
3430,59
2880,69
3847,74
8742,126
9454,109
4024,78
8030,59
10696,76
7455,128
4769,81
4882,62
11003,168
2865,53
11206,59
11632,72
11743,86
4969,83
2824,147
8054,84
9046,67
10992,63
11090,72
7750,52
9382,52
1089,65
8708,47
10620,59
7788,71
3614,67
10434,89
1113,66
11952,92
8828,62
10517,67
4903,66
866,62
2403,144
1843,52
1363,72
6619,66
2954,66
647,67
5897,68
2353,81
8817,72
11382,82
9278,86
7519,69
5389,65
7693,60
11628,60
7740,71
7638,85
1436,78
5246,85
10084,66
11701,65
10565,67
10133,78
7251,71
4156,559
337,139
10744,65
7997,79
4274,84
10267,160
11906,72
2463,70
4773,77
141,63
11763,61
8400,74
4419,141
2719,67
1693,64
11612,71
138,67
2139,73
10193,93
2132,60
4006,78
2246,61
8854,74
6324,48
8226,81
7035,151
10812,81
7704,89
6067,62
3552,63
11446,83
1506,104
1521,51
7160,79
2835,90
8410,73
11821,64
1782,83
7826,363
2104,85
1043,74
2057,75
1532,495
5678,120
7852,125
7646,64
11261,71
943,72
10534,91
1213,80
10956,185
7265,77
3774,55
5840,86
6646,133
9250,279
2758,78
3751,79
4168,76
9017,76
6233,59
752,86
10115,245
725,64
10484,78
10896,72
4459,78
11075,69
4453,75
6844,139
8461,90
8990,88
2501,65
4175,66
10195,65
5680,61
6182,69
684,62
5124,72
1327,50
3358,69
291,69
5075,118
5383,61
7986,99
2723,75
8263,61
9830,121
5892,69
10081,67
948,84
4082,84
4966,73
3894,73
9858,59
7828,69
2375,83
8320,156
786,71
9640,85
1844,62
10710,61
10993,93
9838,79
11585,53
10323,75
9452,66
6532,77
4526,102
10420,81
1049,66
7418,82
3163,77
10946,71
3502,53
11852,70
11566,141
522,249
1941,86
321,176
4537,101
3382,57
6776,60
4224,62
6501,69
8884,78
3818,75
3308,344
628,60
1469,73
677,51
8918,76
8680,77
5082,87
6924,53
4926,74
4664,112
10602,60
5010,61
4382,80
3093,91
8165,78
1085,132
9038,82
11455,99
2660,111
5449,74
6245,148
8548,67
7845,96
8412,57
2231,148
1980,74
7392,75
6219,84
11930,45
9415,77
4872,70
8952,67
8152,345
8655,121
9508,96
10431,72
7482,67
4497,57
1803,72
6307,58
6288,91
1805,65
2041,61
9409,68
1887,60
8840,76
546,79
7531,79
8425,67
1354,76
5780,65
5714,97
10167,76
3652,109
9732,69
10667,80
6695,74
3745,113
7982,62
475,58
5777,50
9891,142
6609,78
6705,70
5272,56
9032,209
2925,62
4880,59
4895,75
2377,68
2902,122
11750,65
7468,71
6863,99
2011,57
8012,66
3111,96
11757,70
5513,76
6854,75
6717,63
7980,70
6784,86
3464,65
7735,158
6337,67
5913,99
2564,98
2953,83
9251,82
7136,74
7576,72
5669,71
3551,136
8162,54
9625,97
11023,87
11212,126
6350,120
1230,69
7300,99
6935,74
1688,85
7267,53
7245,83
1710,103
11861,86
4010,57
8600,81
6282,71
10646,69
6390,70
724,63
10051,325
10428,71
5325,77
9305,91
2457,69
3987,59
3627,139
4762,149
7417,58
9526,70
10306,85
5937,70
10638,71
847,96
10348,67
4295,91
3733,77
712,69
3891,294
2239,49
6743,80
7076,188
2619,85
4502,52
7764,133
8231,60
2553,74
9118,98
1228,96
6954,68
10884,73
7235,68
1984,65
2537,91
5505,120
5190,57
7142,61
4944,63
11531,80
10151,72
5350,87
8031,103
10533,83
7707,52
2597,70
7581,52
10724,65
8406,60
535,69
3450,52
2567,81
9702,72
8044,67
6293,62
4437,75
10821,84
4768,57
5762,73
9220,62
5900,69
9948,79
4411,62
11919,61
7541,90
10871,67
8905,148
3800,53
9246,76
4138,63
2078,65
11414,58
8378,67
11287,92
1970,79
1555,63
11679,71
5511,59
9122,85
3086,71
9787,139
1864,69
7785,63
8778,83
3190,82
1759,71
5725,123
11535,70
10630,106
113,100
9303,70
4818,79
8103,62
5501,82
4468,64
3226,59
6424,110
6856,111
2328,80
8616,85
8685,166
756,74
3192,63
7920,85
11599,59
1821,76
5936,70
9000,90
579,73
470,77
4080,67
10159,94
10637,89
11865,70
4899,61
1838,80
10031,85
3413,66
11514,66
385,79
2601,67
2171,64
5797,123
7945,67
8647,82
1178,63
9525,110
8582,87
10172,67
9755,67
11957,73
8560,70
10699,60
11126,74
10600,79
3312,76
10799,73
4134,70
4424,78
2359,101
5891,99
10944,129
2586,84
2251,153
5518,134
5168,92
2481,64
6450,71
11403,54
2427,193
10168,70
9293,64
246,122
7184,107
11541,91
1804,88
6273,69
3632,89
9789,81
6402,72
9817,60
11697,57
70,66
7587,70
11332,78
6959,68
6451,77
705,71
2252,80
10456,92
6432,77
5619,112
5047,74
7649,74
10465,98
10144,81
10041,71
4923,60
3468,74
3257,61
5200,80
8076,107
9697,61
11240,74
3975,68
6849,66
9841,88
5072,123
1670,53
4298,79
2699,76
7422,83
7729,63
4811,114
2296,78
205,61
11228,60
9480,76
2037,89
3928,78
10156,68
8277,59
4633,106
2301,96
10767,105
4891,68
6534,59
2738,61
6732,74
7393,62
5185,136
10596,93
3352,130
8620,127
11237,68
8858,84
1547,68
8976,67
6602,93
7162,65
8515,85
2654,71
2443,225
7682,72
7132,86
3333,69
3735,57
656,678
1027,78
9094,66
1630,67
11889,83
9067,72
9176,61
1755,66
2167,75
7089,46
1777,69
5076,74
4476,58
9201,77
8302,70
2996,70
6965,83
9335,83
11319,71
9479,122
11413,59
4000,79
8024,79
5287,48
11405,74
554,95
2989,80
9696,72
801,73
5433,73
8122,122
4228,82
8650,75
4422,71
6349,73
42,84
8571,70
5294,77
9914,74
10816,81
6471,65
4058,124
3482,56
8068,55
1761,168
742,67
10897,147
8346,82
7010,83
2600,124
11518,62
1268,91
4881,71
9579,85
10356,61
7221,91
1421,70
9181,85
1684,83
5519,81
10452,70
6062,80
3668,93
11270,76
7575,68
5856,64
5408,75
61,58
7002,95
5546,70
2379,56
2291,53
6477,63
11726,66
2016,59
3971,78
10280,80
11768,65
7777,62
11617,69
7559,94
9149,78
2382,154
1858,57
4266,76
8348,63
2811,106
4743,62
11334,60
2717,50
5099,66
10435,119
865,75
10298,68
2367,78
10634,83
3662,75
1267,69
1641,279
2407,89
3741,60
6412,132
3757,70
1359,81
4145,101
3834,67
283,77
7530,63
5694,58
7568,69
5135,75
731,68
10536,66
4452,63
62,110
7401,96
10666,66
11503,52
10967,213
5087,73
9773,86
10326,86
9555,61
6667,92
2101,83
5986,112
7988,83
2383,110
1330,83
11658,79
3448,72
1231,70
2970,73
10478,94
9656,73
5861,91
6442,57
813,84
5490,75
9419,135
9769,84
2724,48
2847,66
8371,88
7972,112
8913,71
14,90
8397,70
4027,68
9709,60
3386,73
4055,63
11517,72
1692,74
5550,211
6452,82
5876,173
365,77
4786,88
8823,71
1519,54
6012,61
2333,61
6890,67
11204,55
11415,89
11941,87
5871,73
8968,65
9917,81
7435,122
9588,82
4186,70
10363,167
11839,58
3057,45
604,88
10628,84
8444,134
5854,154
122,86
7239,59
7684,97
4674,78
8987,80
7725,96
6013,67
7307,85
3497,72
10387,82
3394,60
7813,72
4336,94
4862,64
11708,106
11935,59
5107,66
3295,68
1870,71
8841,89
5559,58
84,72
8257,82
6150,58
6080,87
6724,61
8936,65
2215,64
6128,63
10782,80
5448,71
1748,82
5480,81
11669,67
5329,78
3087,64
9583,54
7254,63
6383,78
8047,68
4307,74
4501,123
6887,101
1429,66
2768,60
2973,77
292,85
8156,143
7886,65
7088,60
7854,57
11069,64
829,73
11736,46
11421,123
2435,60
11644,73
3334,69
9380,77
11570,67
1157,81
10709,66
4349,80
8050,70
6555,68
3409,82
3690,108
10308,103
6871,98
1127,73
4987,68
7500,55
7474,71
7080,124
8703,74
6829,60
8324,74
4091,74
10070,213
1492,57
6164,91
1583,69
4427,63
2857,76
11696,82
1527,66
1994,71
6605,54
10340,75
9363,61
3682,61
5789,63
10450,59
9064,67
11904,50
2803,64
4804,267
5086,62
11653,89
10543,70
2909,62
7072,54
10850,73
7103,86
1302,107
1317,92
686,79
8380,117
6360,73
2930,107
7616,77
8780,71
10716,86
10658,116
4820,62
5000,63
615,72
5523,57
7356,77
6947,88
4273,91
11600,66
11331,178
4183,138
3786,74
7551,81
9655,171
6425,57
1374,78
7902,69
91,84
2135,67
3624,79
8963,52
10412,53
10689,77
8887,85
3594,76
6723,111
4432,70
2462,77
4217,71
745,70
9928,67
10455,74
11056,113
4823,73
10196,77
319,73
3083,61
5516,85
4359,149
4934,88
690,60
8631,58
1859,58
6925,66
5051,69
6431,71
10598,66
11657,70
3767,53
6674,72
3703,93
11115,234
3543,137
4095,70
1259,152
11173,68
1188,85
6608,80
5434,68
6418,68
1183,81
8048,77
2109,78
7230,83
9295,62
10783,70
3701,65
6051,72
9603,67
2392,68
10430,62
1011,60
3250,73
5573,67
5416,70
11582,138
3527,85
10761,83
1393,107
10733,76
11376,64
6237,48
103,58
6660,59
1088,76
4617,101
2309,70
7151,75
1905,74
3045,122
149,76
3356,69
796,77
9410,80
3060,72
9390,82
625,72
6987,63
3196,84
7203,75
6085,62
694,85
7489,61
7806,60
8636,124
4553,54
6570,93
10805,63
10832,58
8394,72
9890,177
88,78
4433,85
1534,120
5312,65
8947,69
11311,74
6081,111
11281,75
4619,104
6226,66
6556,81
8681,63
5738,91
1992,81
6629,85
1617,119
2977,105
2569,61
633,78
1412,78
11778,178
7661,79
6557,72
10152,80
11686,58
2428,63
7485,83
8662,85
11066,72
9575,66
11562,81
7705,62
3943,69
1233,62
2708,59
11499,85
276,68
3465,86
9716,82
6505,85
8833,95
4939,70
5400,136
3061,70
2314,82
4609,66
5483,138
3674,76
2069,92
7912,70
11512,63
8847,86
6528,74
4846,107
10672,70
9325,70
9083,72
9516,127
7309,93
6583,71
1733,70
8084,108
9151,93
11485,87
3900,79
567,57
9772,70
7670,73
7774,72
11798,78
7582,74
9185,94
9823,65
11137,88
9783,54
7959,315
7732,68
7188,89
528,79
10589,151
11950,66
6376,68
7091,94
8235,83
10454,90
9336,68
11229,88
10861,59
4742,55
12,76
7766,121
6163,83
5534,66
11887,82
945,74
5337,79
8956,156
621,56
5673,77
2338,89
766,55
555,159
7961,54
2642,81
507,78
11398,78
6092,92
5372,88
3547,215
516,65
9566,61
7070,74
1873,72
8782,68
6306,84
37,84
5326,182
2652,78
8092,76
3316,78
3503,70
573,51
10315,72
4756,78
3344,66
9221,86
11851,70
10858,189
8827,61
8039,156
4380,323
4390,161
3903,66
2961,67
1172,146
10525,69
9245,77
6520,80
4472,146
9675,72
862,81
2437,58
7241,88
2229,82
2036,72
10335,93
11430,59
4595,84
10751,101
7929,124
10990,81
2115,84
9029,70
3138,65
2722,65
10728,70
2492,90
1042,76
6670,70
8570,60
4241,84
3456,56
6541,48
7051,59
9468,119
9904,86
4840,122
440,83
4199,163
2527,64
9877,89
6362,60
4368,76
7194,74
2161,76
3740,142
10661,69
8326,59
4962,75
2358,72
1082,56
11928,70
6630,59
11102,255
4443,79
6201,66
2630,109
10660,81
11557,73
6874,81
5394,78
11925,153
10982,70
9444,68
9079,118
10870,72
3837,72
6196,151
9195,73
2006,64
10190,76
8949,75
5645,64
5875,90
3889,97
612,87
3816,94
3140,75
9360,69
9169,66
10234,58
10187,94
242,65
5949,63
3171,120
8889,77
1047,79
7956,89
9172,94
10720,55
3444,71
9301,66
6122,65
11613,73
9774,54
1771,95
377,68
10380,78
11597,63
3942,86
8897,58
782,66
6748,80
11739,72
9775,85
5801,435
3478,88
4435,79
11916,61
1490,63
10491,60
5679,72
9535,71
10382,204
9481,65
9740,195
4644,69
6938,65
10796,60
5604,97
3564,49
8279,89
10125,84
1004,89
8009,113
10580,74
6997,86
2832,70
7374,447
4957,58
1963,63
11326,59
10938,105
740,66
206,71
10260,70
2354,71
5369,74
1458,69
4975,154
1253,131
5491,81
4648,61
6945,72
11668,69
7308,78
1631,69
7167,82
7061,64
3476,74
6639,83
10359,104
1783,82
7380,59
3466,59
3709,67
11028,82
680,83
7871,73
1366,78
7064,79
8493,75
3808,67
2019,67
4897,164
10297,67
3968,106
6228,72
11537,105
10955,108
8728,75
9204,60
2051,81
424,63
1549,99
2269,71
768,58
1601,59
5639,103
9110,57
5138,75
1914,64
9009,82
7757,130
10995,83
4490,73
1062,79
4775,68
478,183
412,145
381,107
2023,66
2293,62
6640,79
7027,66
1367,86
2897,71
6392,113
2942,98
2809,71
4989,135
11394,55
8721,57
4821,64
2381,232
71,70
39,71
6625,88
8704,104
3335,58
1976,69
11007,72
3384,122
9407,64
9711,140
4860,72
4955,74
10176,102
10089,81
6966,57
2282,89
6581,73
8079,59
3010,124
645,55
6828,70
8008,60
856,117
5067,91
290,73
9958,60
4176,98
5689,62
2170,79
8524,60
482,65
10927,65
9896,85
11439,70
11534,75
11271,86
1890,70
11963,80
209,75
1081,68
5641,87
8274,58
9401,64
10437,62
11867,77
6980,69
8551,63
6823,73
11453,65
8815,72
6897,87
5739,87
11139,68
9809,71
8896,112
7026,71
8937,68
4070,60
7557,62
5866,114
5041,73
7349,57
8663,81
235,77
1505,62
6022,101
10334,75
2297,72
5919,70
7269,69
4757,111
3563,68
5842,92
8483,55
2483,76
11682,154
6979,167
7651,78
9826,88
9540,74
2904,88
1108,66
9768,77
11012,69
8134,66
9874,93
833,226
4250,71
510,62
7549,66
4724,71
5793,67
11410,80
548,59
10616,58
9439,62
6423,59
10864,68
2114,65
10768,73
6210,89
10027,200
7067,87
10986,67
1832,59
5004,69
11312,60
7470,95
10685,66
1507,85
10049,71
11790,63
10131,80
7665,72
5131,89
3779,77
4954,91
6870,68
10098,68
11651,53
2400,98
7101,78
1137,123
11523,62
5033,62
8743,74
6519,69
4292,132
7784,80
437,100
8210,80
5554,67
5425,143
2808,90
2257,61
443,100
7911,51
4929,67
4086,77
3716,141
9541,170
8185,139
10040,64
9630,65
6797,86
2845,62
1170,55
9959,81
6173,94
933,68
4805,55
1713,62
1009,72
7130,151
10604,60
8253,55
1340,74
956,75
10974,61
802,75
4593,76
8319,58
1546,87
11125,73
2703,76
11350,63
1990,74
757,49
1485,81
10545,67
10262,65
6140,69
3998,69
7922,176
2505,70
4763,57
2593,412
1787,57
2783,74
9472,103
7720,106
8250,72
1272,70
3123,73
1146,74
624,78
9208,74
9956,68
11761,87
9228,74
2915,72
2040,76
3414,75
2585,65
8476,78
5970,51
8810,72
5549,68
5564,70
115,66
8882,82
10146,75
4803,246
9986,56
1235,56
216,82
9016,75
9393,50
11330,60
10085,60
10752,239
123,84
6788,73
6831,65
1072,69
5496,78
8523,77
759,69
6511,71
9534,81
3699,70
9804,72
9199,65
10691,136
10290,65
9871,56
8809,89
1961,77
7772,69
5545,120
9430,69
10060,71
8993,73
8941,65
4538,87
4888,57
819,77
9790,68
8901,84
1672,92
11317,63
11323,74
7071,60
1745,48
10268,154
11513,177
2183,60
2991,66
1303,68
10579,63
1052,239
11464,61
8489,58
7014,57
9347,68
9213,69
5735,84
4921,101
11791,70
10413,61
2261,162
11187,73
3279,63
2268,59
11728,231
7650,331
9211,55
10755,95
11274,75
5531,83
1455,56
2664,97
6465,91
3809,56
11746,69
10101,67
6706,73
3098,75
4116,62
11629,66
10008,75
2005,74
6601,77
3104,81
466,69
960,59
719,87
5193,90
9730,70
1333,61
4430,63
9820,116
7211,80
8411,53
9342,151
5461,70
3934,48
1852,61
3854,196
9234,87
10764,71
10575,82
2200,98
96,57
10490,107
979,93
7908,75
7496,132
7005,63
11424,107
75,58
852,94
10293,63
9824,62
5318,75
